#MESH-MESH_XY-DIJKSTRA-2-packet_injection_rate-0.05-2-0.1
packet_injection_rate,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
0.05,8885,8829,8827,0.915979,0.910206,0.91,0.056875,9699,33,53,1102,0,27.988,80,0.0046397
0.15000000000000002,26017,25969,25977,2.68216,2.67722,2.67804,0.167378,9699,92,131,3248,0,40.8844,180.562,0.0331996
0.25000000000000006,42478,41494,41479,4.37918,4.27773,4.27619,0.267262,9699,287,352,5184,0,175.13,1101.74,0.166263
0.35000000000000003,59761,45257,45186,6.16093,4.66567,4.65835,0.291147,9699,257,359,5650,0,1285.92,3794.13,0.25653
0.45000000000000007,74879,45495,45489,7.71948,4.69021,4.68959,0.293099,9699,374,419,5688,0,1952.55,5461.73,0.259447
0.5500000000000002,91996,43884,43891,9.48412,4.52412,4.52485,0.282803,9699,344,498,5486,0,2677.75,6050.83,0.263827
0.6500000000000001,107299,44547,44556,11.0618,4.59247,4.5934,0.287088,9699,311,406,5569,0,2963.92,6700.99,0.263344
0.7500000000000002,122983,44615,44568,12.6787,4.59948,4.59464,0.287165,9699,402,440,5573,0,3275.46,7049.49,0.259471
0.8500000000000002,137950,44390,44384,14.2216,4.57629,4.57567,0.285979,9699,465,539,5550,0,3482.88,7263.22,0.259571
0.9500000000000002,151817,44841,44861,15.6512,4.62278,4.62485,0.289053,9699,479,560,5609,0,3577.12,7631.92,0.262583
1.0500000000000003,165835,45483,45453,17.0964,4.68897,4.68588,0.292867,9699,301,406,5679,0,3707.73,7628.55,0.259659
1.1500000000000004,179666,44970,44982,18.5223,4.63608,4.63732,0.289832,9699,381,426,5619,0,3807.91,8057.92,0.262732
1.2500000000000002,193803,45299,45295,19.9797,4.67,4.66959,0.291849,9699,370,427,5661,0,4004.8,8102.23,0.256759
1.3500000000000003,206425,44721,44766,21.2809,4.61041,4.61505,0.288441,9699,408,440,5596,0,4020.99,8089.62,0.260945
1.4500000000000004,218477,44125,44143,22.5234,4.54897,4.55082,0.284427,9699,321,399,5518,0,4074.67,8291.66,0.260336
1.5500000000000003,230977,44985,44986,23.8121,4.63763,4.63773,0.289858,9699,335,478,5623,0,4096.77,8403.87,0.261953
1.6500000000000004,242900,44404,44413,25.0412,4.57773,4.57866,0.286166,9699,344,481,5551,0,4195.23,8362.84,0.264109
1.7500000000000004,254849,44593,44593,26.2731,4.59722,4.59722,0.287326,9699,321,440,5574,0,4205.5,8509.27,0.258551
1.8500000000000003,266473,44593,44593,27.4714,4.59722,4.59722,0.287326,9699,321,440,5574,0,4246.81,8572.75,0.258551
1.9500000000000004,278233,44593,44593,28.6838,4.59722,4.59722,0.287326,9699,321,440,5574,0,4284.49,8627.8,0.258551
2.0500000000000003,289769,44593,44593,29.8731,4.59722,4.59722,0.287326,9699,321,440,5574,0,4316.79,8688.65,0.258551
